trace_name,label,p_window,p_trace
AHUD.HV_20151110182817_EV,1,0.9255588054656982,0.9255588054656982
B081.PB_20120627043903_EV,1,0.8649854063987732,0.8649854063987732
AKBB.AV_20180120110930_EV,1,0.6461240649223328,0.6461880207061768
ALEP.HV_20161105115907_EV,1,0.9552980661392212,0.9552980661392212
ARSB.KR_20140126152718_EV,1,0.9610778093338013,0.9610778093338013
ARLS.KR_20150227235923_EV,1,0.9429103136062622,0.9429103136062622
B045.PB_20180323035251_EV,1,0.9068297743797302,0.9068297743797302
B084.PB_20180108050320_EV,1,0.9816110134124756,0.9844128489494324
AHUD.HV_20180722140307_EV,1,0.8557944297790527,0.8557944297790527
AIND.HV_20150523141642_EV,1,0.9524761438369751,0.9524761438369751
ATKA.AK_20130625201108_EV,1,0.43699660897254944,0.4508579969406128
B067.PB_20110419102142_EV,1,0.9480401277542114,0.9480401277542114
AAM2.ZQ_20070827034212_EV,1,0.989560604095459,0.989560604095459
B067.PB_20171228014652_EV,1,0.9858052134513855,0.9858052134513855
B067.PB_20170903123016_EV,1,0.9876375198364258,0.9876375198364258
AHUD.HV_20180613045826_EV,1,0.9217959642410278,0.9217959642410278
AHUD.HV_20180418020031_EV,1,0.33193325996398926,0.3829348683357239
B058.PB_20150505152306_EV,1,0.9800415635108948,0.9800415635108948
B065.PB_20110310002715_EV,1,0.9679063558578491,0.9679063558578491
B082.PB_20141224064904_EV,1,0.9703506827354431,0.9703506827354431
AKLV.AV_20150420164852_EV,1,0.5737972259521484,0.5737972259521484
B086.PB_20130708043214_EV,1,0.9885637760162354,0.9885637760162354
AHUD.HV_20180623060000_EV,1,0.97247713804245,0.97247713804245
AIND.HV_20151027063049_EV,1,0.9825316667556763,0.9825316667556763
AIND.HV_20161211170918_EV,1,0.9024523496627808,0.9118953347206116
B072.PB_20120727165846_EV,1,0.9503656029701233,0.9503656029701233
B081.PB_20140625054151_EV,1,0.9743466377258301,0.9743466377258301
AIND.HV_20160229174007_EV,1,0.8971353769302368,0.8971353769302368
B082.PB_20180303100819_EV,1,0.9916828870773315,0.9916828870773315
AIND.HV_20170908234512_EV,1,0.8359265923500061,0.8459630012512207
B045.PB_20150128214642_EV,1,0.7213852405548096,0.7269686460494995
B066.PB_20120816011904_EV,1,0.9858900308609009,0.9858900308609009
B045.PB_20120327031654_EV,1,0.9533726572990417,0.9533726572990417
AHUD.HV_20180630144955_EV,1,0.8490678668022156,0.8490678668022156
ALN.HT_20140314163003_EV,1,0.9515189528465271,0.9515189528465271
AHUD.HV_20180729011255_EV,1,0.9982094764709473,0.9982094764709473
B067.PB_20121201031543_EV,1,0.9079778790473938,0.9079778790473938
AHUD.HV_20150807224446_EV,1,0.8336251974105835,0.8336251974105835
B047.PB_20171225102054_EV,1,0.9797058701515198,0.9803674221038818
AKH.GO_20130516141425_EV,1,0.9666038751602173,0.9666038751602173
AHUD.HV_20180624084554_EV,1,0.7690550684928894,0.7690550684928894
