trace_name,label,p_window,p_trace
AHUD.HV_20151110182817_EV,1,0.7738689184188843,0.7738689184188843
B081.PB_20120627043903_EV,1,0.6562345027923584,0.6562345027923584
AKBB.AV_20180120110930_EV,1,0.6241006851196289,0.6241006851196289
ALEP.HV_20161105115907_EV,1,0.8101281523704529,0.8101281523704529
ARSB.KR_20140126152718_EV,1,0.9024328589439392,0.9024328589439392
ARLS.KR_20150227235923_EV,1,0.8310746550559998,0.8310746550559998
B045.PB_20180323035251_EV,1,0.8293744325637817,0.8293744325637817
B084.PB_20180108050320_EV,1,0.8056538701057434,0.8056538701057434
AHUD.HV_20180722140307_EV,1,0.4373510479927063,0.4373510479927063
AIND.HV_20150523141642_EV,1,0.7321708798408508,0.7321708798408508
ATKA.AK_20130625201108_EV,1,0.7916401624679565,0.7916401624679565
B067.PB_20110419102142_EV,1,0.848031759262085,0.848031759262085
AAM2.ZQ_20070827034212_EV,1,0.9933927655220032,0.9933927655220032
B067.PB_20171228014652_EV,1,0.9625298976898193,0.9625298976898193
B067.PB_20170903123016_EV,1,0.9674744606018066,0.9674744606018066
AHUD.HV_20180613045826_EV,1,0.6977798938751221,0.6977798938751221
AHUD.HV_20180418020031_EV,1,0.06397920846939087,0.11412759125232697
B058.PB_20150505152306_EV,1,0.9985591769218445,0.9985591769218445
B065.PB_20110310002715_EV,1,0.8116588592529297,0.8116588592529297
B082.PB_20141224064904_EV,1,0.7026565670967102,0.7026565670967102
AKLV.AV_20150420164852_EV,1,0.7714236974716187,0.7714236974716187
B086.PB_20130708043214_EV,1,0.9989743232727051,0.9989743232727051
AHUD.HV_20180623060000_EV,1,0.6893025636672974,0.6893025636672974
AIND.HV_20151027063049_EV,1,0.906593382358551,0.906593382358551
AIND.HV_20161211170918_EV,1,0.9492366909980774,0.9492366909980774
B072.PB_20120727165846_EV,1,0.7327690124511719,0.7327690124511719
B081.PB_20140625054151_EV,1,0.6695232391357422,0.6695232391357422
AIND.HV_20160229174007_EV,1,0.9378175139427185,0.9378175139427185
B082.PB_20180303100819_EV,1,0.9828706979751587,0.9828706979751587
AIND.HV_20170908234512_EV,1,0.8102529048919678,0.8102529048919678
B045.PB_20150128214642_EV,1,0.9921855330467224,0.9921855330467224
B066.PB_20120816011904_EV,1,0.9878788590431213,0.9878788590431213
B045.PB_20120327031654_EV,1,0.963099479675293,0.963099479675293
AHUD.HV_20180630144955_EV,1,0.8564014434814453,0.8564014434814453
ALN.HT_20140314163003_EV,1,0.8100357055664062,0.8100357055664062
AHUD.HV_20180729011255_EV,1,0.8755978941917419,0.8755978941917419
B067.PB_20121201031543_EV,1,0.7920246124267578,0.7920246124267578
AHUD.HV_20150807224446_EV,1,0.8356267809867859,0.8356267809867859
B047.PB_20171225102054_EV,1,0.7699143290519714,0.7699143290519714
AKH.GO_20130516141425_EV,1,0.6711236238479614,0.6711236238479614
AHUD.HV_20180624084554_EV,1,0.5292751789093018,0.5292751789093018
ALEP.HV_20150808063146_EV,1,0.8082248568534851,0.8082248568534851
B046.PB_20130319124129_EV,1,0.9988188147544861,0.9988188147544861
B081.PB_20130824232550_EV,1,0.8438987135887146,0.8438987135887146
